metrics,query,galago,anserini,galago_best,anserini_best,abs_diff
ndcg_cut_20,enwiki:Air%20ioniser/Consumer%20Reports%20court%20case,0.7788,0.8316,-0.05279999999999996,0.05279999999999996,0.05279999999999996
map,enwiki:Air%20ioniser/Electrostatic%20neutraliser%20in%20electronics,0.0714,0.2,-0.1286,0.1286,0.1286
Rprec,enwiki:Air%20ioniser/Electrostatic%20neutraliser%20in%20electronics,0.0,0.0,0.0,0.0,0.0
recip_rank,enwiki:Air%20ioniser/Electrostatic%20neutraliser%20in%20electronics,0.0714,0.2,-0.1286,0.1286,0.1286
P_20,enwiki:Air%20ioniser/Electrostatic%20neutraliser%20in%20electronics,0.05,0.05,0.0,0.0,0.0
recall_40,enwiki:Air%20ioniser/Electrostatic%20neutraliser%20in%20electronics,1.0,1.0,0.0,0.0,0.0
ndcg_cut_20,enwiki:Air%20ioniser/Electrostatic%20neutraliser%20in%20electronics,0.256,0.3869,-0.13090000000000002,0.13090000000000002,0.13090000000000002
map,enwiki:Air%20ioniser/Ionic%20air%20purifiers,0.0687,0.2763,-0.2076,0.2076,0.2076
Rprec,enwiki:Air%20ioniser/Ionic%20air%20purifiers,0.0,0.5,-0.5,0.5,0.5
recip_rank,enwiki:Air%20ioniser/Ionic%20air%20purifiers,0.1111,0.5,-0.3889,0.3889,0.3889
P_20,enwiki:Air%20ioniser/Ionic%20air%20purifiers,0.05,0.05,0.0,0.0,0.0
recall_40,enwiki:Air%20ioniser/Ionic%20air%20purifiers,0.5,1.0,-0.5,0.5,0.5
ndcg_cut_20,enwiki:Air%20ioniser/Ionic%20air%20purifiers,0.1846,0.3869,-0.20230000000000004,0.20230000000000004,0.20230000000000004
map,enwiki:Air%20ioniser/Ions%20versus%20ozone,0.5079,0.509,-0.0010999999999999899,0.0010999999999999899,0.0010999999999999899
Rprec,enwiki:Air%20ioniser/Ions%20versus%20ozone,0.5,0.5,0.0,0.0,0.0
recip_rank,enwiki:Air%20ioniser/Ions%20versus%20ozone,1.0,1.0,0.0,0.0,0.0
P_20,enwiki:Air%20ioniser/Ions%20versus%20ozone,0.05,0.05,0.0,0.0,0.0
recall_40,enwiki:Air%20ioniser/Ions%20versus%20ozone,0.5,0.5,0.0,0.0,0.0
ndcg_cut_20,enwiki:Air%20ioniser/Ions%20versus%20ozone,0.6131,0.6131,0.0,0.0,0.0
map,enwiki:Anti-Slavery%20International,0.0379,0.067,-0.0291,0.0291,0.0291
Rprec,enwiki:Anti-Slavery%20International,0.0,0.0,0.0,0.0,0.0
recip_rank,enwiki:Anti-Slavery%20International,0.0476,0.0714,-0.0238,0.0238,0.0238
P_20,enwiki:Anti-Slavery%20International,0.0,0.05,-0.05,0.05,0.05
recall_40,enwiki:Anti-Slavery%20International,0.5,1.0,-0.5,0.5,0.5
ndcg_cut_20,enwiki:Anti-Slavery%20International,0.0,0.1569,-0.1569,0.1569,0.1569
map,enwiki:Anti-Slavery%20International/Anti-Slavery%20Award,0.0667,0.3333,-0.2666,0.2666,0.2666
Rprec,enwiki:Anti-Slavery%20International/Anti-Slavery%20Award,0.0,0.0,0.0,0.0,0.0
recip_rank,enwiki:Anti-Slavery%20International/Anti-Slavery%20Award,0.0667,0.3333,-0.2666,0.2666,0.2666
